股票代码,股票名称,交易所,板块,上市时间,最新价
002614,奥佳华,深圳交易所,主板,20110909,6.62
002926,华西证券,深圳交易所,主板,20180205,8.28
301219,腾远钴业,深圳交易所,创业板,20220317,44.72
300535,达威股份,深圳交易所,创业板,20160812,15.74
603105,芯能科技,上海交易所,主板,20180709,8.29
603811,诚意药业,上海交易所,主板,20170315,9.13
603569,长久物流,上海交易所,主板,20160810,8.3
600262,北方股份,上海交易所,主板,20000630,24.09
603336,宏辉果蔬,上海交易所,主板,20161124,5.82
002407,多氟多,深圳交易所,主板,20100518,11.64
603255,鼎际得,上海交易所,主板,20220818,24.95
688449,联芸科技,上海交易所,科创板,20241129,38.26
002350,北京科锐,深圳交易所,主板,20100203,6.67
300568,星源材质,深圳交易所,创业板,20161201,10.01
301358,湖南裕能,深圳交易所,创业板,20230209,28.39
688019,安集科技,上海交易所,科创板,20190722,173.76
300196,长海股份,深圳交易所,创业板,20110329,11.7
002514,宝馨科技,深圳交易所,主板,20101203,5.85
000581,威孚高科,深圳交易所,主板,19980924,20.06
688411,海博思创,上海交易所,科创板,20250127,71.08
600177,雅戈尔,上海交易所,主板,19981119,7.53
688503,聚和材料,上海交易所,科创板,20221209,31.84
000078,海王生物,深圳交易所,主板,19981218,2.52
002989,中天精装,深圳交易所,主板,20200610,34.48
002952,亚世光电,深圳交易所,主板,20190328,20.23
003041,真爱美家,深圳交易所,主板,20210406,30.36
688009,中国通号,上海交易所,科创板,20190722,5.07
000886,海南高速,深圳交易所,主板,19980123,5.92
300195,长荣股份,深圳交易所,创业板,20110329,6.77
002585,双星新材,深圳交易所,主板,20110602,5.08
688275,万润新能,上海交易所,科创板,20220929,36.41
301179,泽宇智能,深圳交易所,创业板,20211208,13.55
603218,日月股份,上海交易所,主板,20161228,11.86
688191,智洋创新,上海交易所,科创板,20210408,27.96
603358,华达科技,上海交易所,主板,20170125,33.9
000563,陕国投Ａ,深圳交易所,主板,19940110,3.39
600536,中国软件,上海交易所,主板,20020517,44.93
688168,安博通,上海交易所,科创板,20190906,61.17
839371,欧福蛋业,北京交易所,北交所,20230118,11.9
600487,亨通光电,上海交易所,主板,20030822,15.31
000752,ST西发,深圳交易所,主板,19970625,8.51
002705,新宝股份,深圳交易所,主板,20140121,14.48
301591,肯特股份,深圳交易所,创业板,20240228,44.32
002875,安奈儿,深圳交易所,主板,20170601,15.36
000629,钒钛股份,深圳交易所,主板,19961115,2.56
301588,美新科技,深圳交易所,创业板,20240313,17.96
301028,东亚机械,深圳交易所,创业板,20210720,12.83
300532,今天国际,深圳交易所,创业板,20160818,12.85
600066,宇通客车,上海交易所,主板,19970508,24.86
603439,贵州三力,上海交易所,主板,20200428,12.02
605580,恒盛能源,上海交易所,主板,20210819,11.17
001311,多利科技,深圳交易所,主板,20230227,27.5
300992,泰福泵业,深圳交易所,创业板,20210525,24.07
873703,广厦环能,北京交易所,北交所,20231205,26.67
002611,东方精工,深圳交易所,主板,20110830,12.91
688367,工大高科,上海交易所,科创板,20210628,17.24
603612,索通发展,上海交易所,主板,20170718,16.38
300577,开润股份,深圳交易所,创业板,20161221,20.7
301272,英华特,深圳交易所,创业板,20230713,35.37
600477,杭萧钢构,上海交易所,主板,20031110,2.59
603477,巨星农牧,上海交易所,主板,20171218,19.86
