股票代码,东财行业,证监会行业
603716,医药生物-医药商业-医药商业,批发和零售业-批发业
002253,信息技术-计算机软件-行业应用软件,信息传输、软件和信息技术服务业-软件和信息技术服务业
832023,食品饮料-饮料-软饮料,制造业-酒、饮料和精制茶制造业
301225,交运设备-汽车-汽车零部件,制造业-汽车制造业
600249,基础化工-化学制品-日用化学品,制造业-化学原料和化学制品制造业
838030,交运设备-汽车-汽车销售,批发和零售业-零售业
600486,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
600228,互联网-互联网商务-电子商务B2B,信息传输、软件和信息技术服务业-互联网和相关服务
688196,基础化工-化学制品-其他化学制品,制造业-废弃资源综合利用业
301602,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
003030,食品饮料-食品-食品综合,制造业-农副食品加工业
688426,医药生物-生物医药-生物医药,制造业-医药制造业
603130,纺织服装-纺织-其他纺织,制造业-纺织业
603336,农林牧渔-农业-农产品加工,制造业-农副食品加工业
605179,食品饮料-食品-食品综合,制造业-食品制造业
600608,商贸零售-贸易-贸易,批发和零售业-批发业
603701,交运设备-汽车-汽车零部件,制造业-电气机械和器材制造业
603779,食品饮料-饮料-葡萄酒,制造业-酒、饮料和精制茶制造业
603178,交运设备-汽车-汽车零部件,制造业-汽车制造业
300198,建材-其他建材-其他建材,制造业-橡胶和塑料制品业
002547,电子设备-电子设备制造-电子设备制造,制造业-金属制品业
688311,信息技术-通信设备-通信终端设备,制造业-计算机、通信和其他电子设备制造业
839371,食品饮料-食品-食品综合,制造业-农副食品加工业
834014,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
000663,农林牧渔-林业-木材加工,农、林、牧、渔业-林业
000420,基础化工-合成纤维及树脂-粘胶纤维,制造业-化学纤维制造业
603721,文化传媒-影视动漫-影视,文化、体育和娱乐业-广播、电视、电影和录音制作业
000638,农林牧渔-农业-农产品加工,信息传输、软件和信息技术服务业-软件和信息技术服务业
301001,互联网-互联网服务-其他互联网服务,批发和零售业-零售业
600243,机械设备-专用设备-楼宇设备,制造业-通用设备制造业
002074,电气设备-电源设备-储能设备,制造业-电气机械和器材制造业
605566,基础化工-化学制品-印染化学品,制造业-化学原料和化学制品制造业
605136,互联网-互联网商务-网上购物,批发和零售业-零售业
603377,交运设备-汽车-汽车服务,教育-教育
603912,机械设备-专用设备-其他专用机械,制造业-通用设备制造业
300138,农林牧渔-农业-农产品加工,制造业-农副食品加工业
301665,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
600810,基础化工-合成纤维及树脂-其他纤维,制造业-化学纤维制造业
300664,公用事业-水务-水务,水利、环境和公共设施管理业-生态保护和环境治理业
